time,clock,T,Po,P,RRR,U,DD,Ff,VV,ff3,Tn,Tx,Td
2021年 10月 10日 星期日,23,4.2,704.8,774.3,0,96,2,0,14,3,4.2,13.1,3.6
,20,8.5,704.1,773.3,0,69,3.9, 1,22,3,7.2,13.1,3.1
,17,11.9,703.3,772.1,0,44,2.9, 1,30,3,7.2,13.1,0
,14,12.7,704.2,772.9,0,44,3.5, 1,30,3,7.2,13.3,0.8
,11,10.4,705.3,774.2,0,54,2.9, 1,28,6,7.2,13.3,1.5
,8,8,704.9,774,0,96,2.9, 1,14,6,7.2,13.3,7.4
,5,7.4,703.8,772.5,0,87,2.9, 1,24,7,7.4,13.3,5.4
,2,8.2,703.4,772,0,89,2.9, 1,23,7,8.1,13.3,6.5
2021年 10月 9日 星期六,23,9.3,702.9,771.4,0.6,94,3.9, 1,17,7,9.3,13.3,8.4
,20,10.1,701.2,769.6,9,100,3.5, 2,12,7,10.1,13.3,10.1
,17,12.8,699.4,767.2,8,100,3.5, 2,1.7,5,10.4,16.6,12.8
,14,13.3,698.3,766,2,97,3.9, 1,4.9,3,10.4,0,12.8
,11,12.2,699.1,767,2,100,2.9, 1,7,5,10.4,0,12.2
,8,10.6,698.5,766.3,2,100,0,0,5,0,9.8,0,10.6
,5,10.5,697.9,765.2,4,100,1.5, 1,2.6,7,6.6,18.4,10.5
,2,10.5,698,765.1,3,100,1.1, 2,2.4,7,6.6,18.4,10.5
2021年 10月 8日 星期五,23,10.7,697.9,765.3,1,100,1.5, 2,2,7,6.6,18.4,10.7
,20,13.4,697.1,764.8,0,75,2, 2,20,7,6.6,18.4,9.1
,17,16.6,695.8,763.3,0,59,1.9, 2,29,6,6.6,18.4,8.6
,14,18.3,696.3,763.3,0,46,1.1, 2,30,6,6.6,18.4,6.5
,11,15.9,698.5,765.8,0,61,1.5, 2,30,6,6.6,15.9,8.4
,8,9.8,698.8,766.9,0,87,1.9, 2,21,0,6.6,14.4,7.7
,5,7.1,697.9,766.1,0,100,1.9, 2,5,0,7.1,14.4,7.1
,2,9.9,698.2,766,0,93,1.5, 2,16,4,7.3,14.4,8.8
2021年 10月 7日 星期四,23,11.2,698.3,766.3,0,100,1.1, 1,6,3,7.3,14.4,11.2
,20,11.5,698,766.3,0,98,2.9,0,5,3,6.5,14.4,11.2
,17,13.2,697.6,765.7,0,86,2.9, 1,9,3,6.5,14.4,10.9
,14,14.1,698.5,766.6,0,74,1, 1,13,3,6.5,14.1,9.5
,11,10.7,699.9,768.5,0,91,1.5, 1,7,2,6.5,10.7,9.3
,8,8.1,699.9,768.9,0,100,1.1, 1,7,0,6.5,8.6,8.1
,5,7.6,699.6,768.4,0,100,1.9, 1,4.2,2,6.3,8.6,7.6
,2,7.4,699.7,768.7,0,100,2.5, 1,5,4,6.3,8.6,7.4
2021年 10月 6日 星期三,23,7.4,699.7,768.8,0,100,3.1,0,7,4,6.3,8.6,7.4
,20,6.9,699.4,768.6,0.7,100,0,0,12,0,6.3,8.6,6.9
,17,8.6,698.7,767.6,11,98,2.1, 1,30,0,6.3,8.6,8.3
,14,7.7,699.4,768.5,16,100,1.1, 2,16,7,6.3,7.8,7.7
,11,7.2,701.2,770.4,8,100,1, 2,11,7,6.3,7.9,7.2
,8,6.7,700.9,770.2,7,100,1.1, 2,15,9,6.3,8.1,6.7
,5,6.3,701.2,770.5,9,100,1.1, 2,20,9,6.3,8.1,6.3
,2,6.5,702.1,771.4,14,100,1.1, 4,10,9,6.5,8.5,6.5
2021年 10月 5日 星期二,23,6.9,702.5,771.8,22,100,1.5, 2,9,9,6.8,8.8,6.9
,20,7,702.1,771.4,25,100,1.5, 5,8,9,7,9,7
,17,7.1,701.2,770.4,24,100,1.1, 4,5,9,7,0,7.1
,14,7.3,701.6,770.7,20,100,1.5, 4,9,9,7.3,10,7.3
,11,7.9,702.8,771.9,12,99,1.5, 4,12,8,7.7,10.5,7.8
,8,8,701.9,770.8,12,99,1.5, 2,16,8,7.7,0,7.9
,5,7.7,701.8,770.6,16,100,1.5, 4,8,8,7.7,0,7.7
,2,8.5,701.7,770.5,16,100,1.1, 2,6,8,8.5,0,8.5
2021年 10月 4日 星期一,23,8.8,701.5,770.2,17,100,1.1, 5,13,8,8.7,0,8.8
,20,9,700.9,769.3,23,100,1.1, 2,9,13,9,0,9
,17,9.8,699.4,767.4,27,100,1.1, 2,6,13,9.6,17.7,9.8
,14,10,699,766.6,27,100,1.1, 4,8,13,10,18.5,10
,11,10.5,699.6,767.1,25,100,1.1, 2,6,13,10.5,18.8,10.5
,8,12.3,697.6,764.5,15,95,1.1, 6,19,11,12.3,18.8,11.5
,5,13.4,696.2,762.9,5,95,1.1, 6,7,11,13.4,18.8,12.6
,2,15.7,695,761.2,0.3,88,1, 2,12,7,15.7,18.8,13.7
2021年 10月 3日 星期日,23,16.5,694.3,760.3,0.8,81,1, 2,17,7,16.4,18.8,13.2
,20,17.6,693.7,759.7,7,100,0,0,17,0,17,20,17.6
,17,17.3,691.6,757.4,10,100,1, 2,4.6,7,17,0,17.3
,14,18.5,690,755.5,14,100,1, 2,3,4,17,0,18.5
,11,18.1,691,756.7,15,100,1.1, 1,1.1,4,17,0,18.1
,8,17.5,690.1,755.4,6,100,5.1, 1,1.5,4,14.2,0,17.5
,5,17.7,689.6,754.1,2,95,1.1, 1,1.8,4,0,0,16.9
,2,17.1,690.1,754.7,0,95,1.5, 1,3.5,4,10.7,27.7,16.3
2021年 10月 2日 星期六,23,17.8,690.4,755.5,0,87,1.5, 1,4.7,5,10.7,27.7,15.6
,20,19.9,688.9,754.6,0,70,2.5, 1,8,5,10.7,27.7,14.3
,14,26,689.4,754.4,0,43,3.9, 1,18,5,10.7,27.7,12.5
,11,22.1,691.8,757.4,0,51,2.9, 1,14,4,10.7,27.7,11.5
,8,14.1,692.2,757.9,0,91,1.5, 2,8,7,10.7,27.7,12.7
,5,10.9,691.5,756.9,0,100,2, 1,3.1,7,9.9,27.7,10.9
,2,13.4,691.8,757,0,86,5.1,0,7,7,9.9,27.7,11.1
2021年 10月 1日 星期五,23,14.2,691.7,757.3,0,91,2,0,4.8,7,9.9,27.7,12.8
,20,21.7,691,756.7,0,48,3.5, 2,16,7,9.9,27.7,10.2
,17,27.1,689.6,754.8,0,30,3.1, 2,20,7,9.9,27.7,8
,14,27,690.7,755.8,0,29,3.5, 2,24,5,9.9,27,7.5
,11,22.7,692.9,758.1,0,52,1.5, 1,14,4,9.9,26.3,12.3
,8,13.2,693.2,759.2,0,100,1.5,0,3.9,5,9.9,26.3,13.2
,5,11.1,692.1,757.6,0,100,0,0,1.4,0,11.1,26.3,11.1
,2,13.5,691.9,757.5,0,100,2.1, 1,2.4,0,12.1,26.3,13.5
